run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
33,44,36,36,PAYMENT,0,0,0
33,219,14,14,PAYMENT,0,0,0
33,445,41,41,STOCK_LEVEL,0,0,0
33,626,22,22,PAYMENT,0,0,0
33,851,47,47,NEW_ORDER,0,0,0
33,1010,7,7,PAYMENT,0,0,0
33,1218,14,14,PAYMENT,0,0,0
33,1429,24,24,NEW_ORDER,0,0,0
33,1621,16,16,NEW_ORDER,0,0,0
33,1822,17,17,NEW_ORDER,0,0,0
33,2042,38,38,STOCK_LEVEL,0,0,0
33,2223,17,17,NEW_ORDER,0,0,0
33,2415,9,9,PAYMENT,0,0,0
33,2624,19,19,NEW_ORDER,0,0,0
33,2816,10,10,NEW_ORDER,0,0,0
33,3034,27,27,NEW_ORDER,0,0,0
33,3218,11,11,PAYMENT,0,0,0
33,3415,8,8,NEW_ORDER,1,0,0
33,3637,30,30,NEW_ORDER,0,0,0
33,3846,38,38,STOCK_LEVEL,0,0,0
